Model Used,Data Set Used,Feature Scaling Technique,Accuracy,Precision,Recall,F1 Score
CNN,ARP MITM,Standard,0.9761846765724144,0.9510022086786124,0.9994502425913644,0.9746245160192316
CNN,ARP MITM,MinMax,0.9745674388145048,0.9494476744186047,0.9975348179692136,0.972897411019762
CNN,Video Injection,Standard,0.986889257401715,0.8707112970711297,0.8058473304613002,0.8370245606978557
CNN,Video Injection,MinMax,0.9861551528878822,0.8664120112472811,0.790502928505736,0.8267186392629341
CNN,Active Wiretap,Standard,0.9751809153504865,0.9429332240884883,0.9990938834419407,0.9702015106050587
CNN,Active Wiretap,MinMax,0.9738073191175631,0.9425678104491255,0.9959143367172536,0.9685070322950002
