Model Used,Data Set Used,Feature Scaling Technique,Accuracy,Precision,Recall,F1 Score
LSTM,ARP MITM,Standard,0.96832,0.9515902414101418,0.9803921568627451,0.96577651024112
LSTM,ARP MITM,MinMax,0.97438,0.9520057006329379,0.9940476190476191,0.9725725297077401
LSTM,Video Injection,Standard,0.96996,0.7640552995391705,0.39951807228915664,0.5246835443037975
LSTM,Video Injection,MinMax,0.96682,0.8357030015797788,0.2538387715930902,0.3894000736105999
LSTM,Active Wiretap,Standard,0.97368,0.9436355975843828,0.9944743203907445,0.9683881815998079
LSTM,Active Wiretap,MinMax,0.95778,0.9422379131116995,0.9536949724552087,0.9479318254692549
