Model Used,Data Set Used,Feature Scaling Technique,Accuracy,Precision,Recall,F1 Score
RNN,ARP MITM,Standard,0.9759331062545172,0.9517985551634596,0.9979449544486718,0.974325659856527
RNN,ARP MITM,MinMax,0.975573720086093,0.9517511348019823,0.9971726761841601,0.9739326091681191
RNN,Video Injection,Standard,0.9840074421614625,0.8479506631010206,0.7520693160365942,0.7971371402185624
RNN,Video Injection,MinMax,0.9748078789839831,0.7084053257444862,0.6747664456169225,0.6911768351637454
RNN,Active Wiretap,Standard,0.9747574264160548,0.942536506912112,0.9984536334188808,0.9696896242820257
RNN,Active Wiretap,MinMax,0.9750668147049402,0.9431041374150636,0.9985892796102072,0.9700539466436859
